30.0376,30.1839,29.9205,30.6312,33.5982,32.1081,28.8641,30.2942,30.8776,32.0088,31.8766
30.1849,31.5419,31.742,33.1994,35.0806,32.3648,28.7521,30.0183,32.1624,34.6053,38.0099
31.0655,34.4267,35.4134,37.3632,37.3944,34.0939,29.2572,29.6509,32.2543,35.625,40.0761
33.86,35.9193,37.6967,38.9521,38.46,36.0088,31.297,30.5935,31.3586,33.782,35.3315
35.6639,33.58,35.2744,35.7183,36.4963,37.2192,35.3422,33.6995,31.7945,32.4213,32.1491
33.0272,30.8201,31.4687,32.4074,34.4932,38.5373,39.3393,37.3402,33.8568,33.2462,33.1788
30.3415,29.9903,30.3666,32.0529,34.5459,39.3335,41.1817,39.3812,35.813,34.5145,33.4058
30.0688,29.8752,31.1917,33.3685,36.0096,39.7951,41.3284,39.6515,35.7033,34.6059,30.2693
30.4956,30.0695,32.181,34.4677,37.1304,39.7442,40.2512,37.9441,33.7205,32.9862,28.8277
30.4643,30.7724,32.6961,34.7693,37.6378,40.1323,40.0329,36.1636,32.0546,31.1153,29.5631
30.2017,31.0646,32.2587,34.055,37.0316,40.0916,40.0243,35.2609,31.3643,30.3032,29.9699
